cod_ibge,ano,mes,tipo_unidade,estabelecimentos
1703057,2022,12,50,1
1703057,2022,12,74,1
1703057,2023,12,15,1
1703057,2023,12,74,1
1703057,2023,12,50,1
1703057,2023,12,2,1
1703057,2023,12,68,1
1703057,2024,12,50,1
1703057,2024,12,15,1
1703057,2024,12,2,1
1703057,2024,12,68,1
1703057,2024,12,74,1
1703073,2019,12,2,2
1703073,2019,12,68,1
1703073,2019,12,50,1
1703073,2020,12,2,2
1703073,2020,12,50,1
1703073,2020,12,68,1
1703073,2021,12,50,1
1703073,2021,12,68,1
1703073,2021,12,2,2
1703073,2022,12,2,2
1703073,2022,12,68,1
1703073,2022,12,50,1
1703073,2023,12,50,1
1703073,2023,12,68,1
1703073,2023,12,74,1
1703073,2023,12,2,2
1703073,2024,12,2,2
1703073,2024,12,50,1
1703073,2024,12,68,1
1703073,2024,12,74,1
1703107,2019,12,68,1
1703107,2019,12,74,1
1703107,2019,12,36,1
1703107,2019,12,50,1
1703107,2019,12,2,2
1703107,2020,12,74,1
1703107,2020,12,2,2
1703107,2020,12,50,1
1703107,2020,12,68,1
1703107,2020,12,36,1
1703107,2021,12,82,1
1703107,2021,12,74,1
1703107,2021,12,2,2
1703107,2021,12,68,1
1703107,2021,12,50,1
1703107,2022,12,68,1
1703107,2022,12,39,1
1703107,2022,12,36,1
1703107,2022,12,2,2
1703107,2022,12,74,1
1703107,2022,12,50,1
1703107,2023,12,74,1
1703107,2023,12,39,1
1703107,2023,12,68,1
1703107,2023,12,50,1
1703107,2023,12,2,2
1703107,2023,12,36,1
1703107,2024,12,68,1
1703107,2024,12,74,1
1703107,2024,12,36,1
1703107,2024,12,50,1
1703107,2024,12,2,2
1703107,2024,12,39,1
1703206,2019,12,50,1
1703206,2019,12,2,1
1703206,2020,12,50,1
1703206,2020,12,2,1
1703206,2021,12,50,1
1703206,2021,12,2,1
1703206,2022,12,2,1
1703206,2022,12,68,1
1703206,2022,12,50,1
1703206,2023,12,68,1
1703206,2023,12,50,1
1703206,2023,12,2,1
1703206,2024,12,50,1
1703206,2024,12,68,1
1703206,2024,12,2,1
1703305,2019,12,68,1
1703305,2019,12,2,2
1703305,2019,12,50,1
1703305,2020,12,50,1
1703305,2020,12,2,2
1703305,2020,12,68,1
1703305,2021,12,50,1
1703305,2021,12,2,2
1703305,2021,12,68,1
1703305,2022,12,68,1
1703305,2022,12,2,2
1703305,2022,12,50,1
1703305,2023,12,2,2
1703305,2023,12,50,1
1703305,2023,12,68,1
1703305,2024,12,50,1
1703305,2024,12,68,1
1703305,2024,12,2,2
1703602,2019,12,68,1
1703602,2019,12,74,1
1703602,2019,12,50,1
1703602,2019,12,2,1
1703602,2020,12,2,1
1703602,2020,12,74,1
1703602,2020,12,50,1
1703602,2020,12,68,1
1703602,2021,12,74,1
1703602,2021,12,2,1
1703602,2021,12,50,1
1703602,2021,12,68,1
1703602,2022,12,68,1
1703602,2022,12,74,1
1703602,2022,12,2,1
1703602,2022,12,50,1
1703602,2023,12,50,1
1703602,2023,12,74,1
1703602,2023,12,68,1
1703602,2023,12,2,1
1703602,2024,12,74,1
1703602,2024,12,50,1
1703602,2024,12,68,1
1703602,2024,12,2,1
1703701,2019,12,5,1
1703701,2019,12,50,1
1703701,2019,12,68,1
1703701,2019,12,2,2
1703701,2020,12,5,1
1703701,2020,12,50,1
