cod_ibge,ano,cnae_2_secao,vinculos
1701101,2021,97,1
1701101,2021,53,2
1701101,2022,35,4
1701101,2022,53,2
1701101,2022,11,39
1701101,2022,41,1
1701101,2022,84,137
1701101,2022,69,2
1701101,2022,94,2
1701101,2022,74,2
1701101,2022,49,4
1701101,2022,45,5
1701101,2022,01,322
1701101,2022,23,26
1701101,2022,61,8
1701101,2022,70,116
1701101,2022,47,67
1701101,2022,86,89
1701101,2022,10,3
1701101,2022,46,3
1701101,2022,85,246
1701101,2023,53,2
1701101,2023,94,3
1701101,2023,47,72
1701101,2023,74,6
1701101,2023,15,61
1701101,2023,86,169
1701101,2023,46,4
1701101,2023,84,147
1701101,2023,16,11
1701101,2023,49,18
1701101,2023,45,8
1701101,2023,35,5
1701101,2023,41,1
1701101,2023,61,8
1701101,2023,69,2
1701101,2023,10,4
1701101,2023,68,1
1701101,2023,22,15
1701101,2023,85,359
1701101,2023,11,297
1701101,2023,23,16
1701101,2024,49,19
1701101,2024,47,73
1701101,2024,22,45
1701101,2024,56,1
1701101,2024,69,3
1701101,2024,84,159
1701101,2024,86,115
1701101,2024,74,7
1701101,2024,45,11
1701101,2024,10,3
1701101,2024,85,345
1701101,2024,23,16
1701101,2024,68,1
1701101,2024,94,2
1701101,2024,16,17
1701101,2024,33,1
1701101,2024,46,1
1701101,2024,61,15
1701101,2024,53,3
1701101,2024,15,39
1701101,2024,35,4
1701101,2024,11,336
1701309,2019,84,328
1701309,2019,53,2
1701309,2019,35,1
1701309,2019,38,7
1701309,2019,56,1
1701309,2019,41,4
1701309,2019,47,7
1701309,2019,46,2
1701309,2019,49,1
1701309,2019,69,4
1701309,2019,82,3
1701309,2019,01,268
1701309,2019,94,2
1701309,2020,94,2
1701309,2020,38,5
1701309,2020,82,2
1701309,2020,84,353
1701309,2020,46,2
1701309,2020,69,4
1701309,2020,01,254
1701309,2020,47,4
1701309,2020,53,1
1701309,2021,38,5
1701309,2021,82,3
1701309,2021,84,374
1701309,2021,01,257
1701309,2021,94,2
1701309,2021,47,4
1701309,2021,69,6
1701309,2021,46,5
1701309,2021,53,1
1701309,2022,41,5
1701309,2022,84,80
1701309,2022,86,54
1701309,2022,94,2
1701309,2022,47,12
1701309,2022,53,1
1701309,2022,85,111
1701309,2022,38,1
1701309,2022,46,6
1701309,2022,01,239
1701309,2022,82,4
1701309,2022,45,1
1701309,2022,69,9
1701309,2023,45,2
1701309,2023,47,10
1701309,2023,53,1
1701309,2023,82,3
1701309,2023,15,283
1701309,2023,43,2
1701309,2023,86,114
1701309,2023,46,6
1701309,2023,11,1
1701309,2023,84,134
1701309,2023,16,18
1701309,2023,38,1
1701309,2023,69,24
1701309,2023,85,126
1701309,2023,94,5
1701309,2024,47,14
1701309,2024,84,207
1701309,2024,94,2
1701309,2024,38,1
1701309,2024,85,166
1701309,2024,15,270
1701309,2024,82,1
1701309,2024,45,2
1701309,2024,16,29
1701309,2024,11,2
1701309,2024,69,27
1701309,2024,43,2
1701309,2024,86,117
1701309,2024,46,6
1701309,2024,53,2
1701903,2019,47,64
1701903,2019,85,3
1701903,2019,61,2
1701903,2019,94,2
1701903,2019,35,7
1701903,2019,53,2
1701903,2019,69,4
1701903,2019,01,193
1701903,2019,02,41
1701903,2019,84,504
1701903,2019,23,3
1701903,2019,55,2
1701903,2020,84,496
1701903,2020,94,4
1701903,2020,02,27
1701903,2020,36,10
1701903,2020,53,2
1701903,2020,69,7
1701903,2020,55,2
1701903,2020,85,1
1701903,2020,42,8
1701903,2020,61,2
1701903,2020,23,3
1701903,2020,47,56
1701903,2020,35,6
1701903,2020,01,245
1701903,2021,23,4
1701903,2021,85,1
1701903,2021,55,2
1701903,2021,61,2
1701903,2021,35,6
1701903,2021,02,4
1701903,2021,84,674
1701903,2021,36,9
1701903,2021,01,291
1701903,2021,69,7
1701903,2021,94,2
1701903,2021,47,66
1701903,2021,50,5
1701903,2021,53,2
1701903,2022,02,47
1701903,2022,55,4
1701903,2022,47,80
1701903,2022,84,601
1701903,2022,87,29
1701903,2022,35,6
1701903,2022,61,5
1701903,2022,69,9
1701903,2022,53,2
1701903,2022,94,2
1701903,2022,45,1
1701903,2022,03,1
1701903,2022,50,8
1701903,2022,36,13
1701903,2022,41,21
1701903,2022,23,4
1701903,2022,01,370
1701903,2022,42,7
1701903,2023,16,33
1701903,2023,69,10
1701903,2023,94,2
1701903,2023,55,4
1701903,2023,45,1
1701903,2023,21,45
1701903,2023,56,1
1701903,2023,42,7
1701903,2023,84,648
1701903,2023,13,1
1701903,2023,87,27
1701903,2023,49,14
1701903,2023,61,4
1701903,2023,35,6
1701903,2023,11,257
1701903,2023,15,166
1701903,2023,41,15
1701903,2023,47,76
1701903,2023,53,2
1701903,2023,23,6
1701903,2023,50,6
1701903,2023,36,12
1701903,2024,50,5
1701903,2024,93,2
1701903,2024,87,29
1701903,2024,23,8
1701903,2024,16,31
1701903,2024,61,4
1701903,2024,35,7
1701903,2024,41,2
