cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1701051,1,,,Angico,0.0365836,1.00452955,4,0,0,0,18,0,13,0,0,0,0,14,21,0,12,0,0,0,0,7,0,4,0,0,0
1714302,0,,,Nazaré,0.03236314,1.3587917,19,0,0,0,47,0,13,0,1,5,0,40,26,0,22,0,0,0,1,8,0,8,0,0,0
1712454,1,,,Luzinópolis,0.02300428,0.85456616,8,0,0,0,12,0,5,0,0,0,0,12,16,0,12,0,0,0,0,7,0,8,0,0,0
1721208,2,,,Tocantinópolis,0.08862486,1.53743985,33,0,0,0,157,0,28,7,0,27,1,145,39,19,74,0,0,0,0,26,7,20,0,0,4
1703826,0,,,Cachoeirinha,0.02871666,0.99451115,0,0,10,0,10,0,1,0,0,0,0,11,13,0,10,0,0,0,0,5,0,0,0,0,0
1701002,2,,,Ananás,0.12943565,2.43667103,10,0,0,0,47,0,9,9,0,0,0,32,45,0,23,0,0,0,0,10,0,0,0,0,30
1712801,3,,,Maurilândia do Tocantins,0.06004962,1.3130021,0,0,0,0,8,0,15,0,0,0,0,9,25,0,9,0,0,0,0,5,0,0,0,0,0
1720101,1,,,São Bento do Tocantins,0.08980596,2.47057622,18,0,5,0,27,0,9,0,0,0,0,27,37,0,24,0,0,0,0,13,0,0,0,0,0
1710706,0,,,Itaguatins,0.05969923,1.17096201,4,0,8,0,11,0,12,0,0,5,0,10,52,0,14,0,0,0,0,10,0,4,0,0,0
1702901,2,,,Axixá do Tocantins,0.01253302,0.66156119,0,0,8,0,31,0,87,0,0,13,7,12,122,0,20,0,0,0,0,31,7,0,0,0,0
1720804,1,,,Sítio Novo do Tocantins,0.02506643,1.1084091,11,0,20,0,37,0,41,0,0,18,0,36,58,0,28,0,0,0,0,24,0,0,0,11,0
1720200,2,,,São Miguel do Tocantins,0.03317107,1.03034354,7,0,5,0,23,0,25,0,0,4,0,31,65,0,29,0,0,0,0,14,0,0,0,0,0
1702554,0,,,Augustinópolis,0.03172942,1.24720365,14,0,2,0,98,0,24,3,0,0,2,75,61,13,23,0,0,0,0,23,4,16,0,0,4
1718303,3,,,Praia Norte,0.02451385,0.87893194,0,0,2,0,18,0,24,0,0,14,0,11,89,0,13,0,0,0,0,19,0,0,0,0,0
1702208,3,,,Araguatins,0.21587864,3.16015036,51,0,12,0,114,33,73,9,0,9,3,119,138,16,62,59,0,0,0,33,7,17,60,0,8
1703800,1,,,Buriti do Tocantins,0.02058103,0.75504154,4,0,4,0,52,0,8,0,0,2,0,45,37,0,26,0,0,0,0,18,0,4,0,0,0
1703891,2,,,Carrasco Bonito,0.01552455,0.59337614,8,0,0,0,21,0,4,0,0,0,0,21,26,0,15,0,0,0,0,9,0,4,0,0,0
1718808,1,,,Sampaio,0.01819926,0.82128823,0,0,0,0,18,0,6,0,0,0,0,17,22,0,16,0,0,0,0,6,0,0,0,0,0
1707405,0,,,Esperantina,0.04019503,1.10849154,4,0,8,0,23,0,41,0,0,0,0,27,92,0,26,0,0,0,0,16,0,4,0,0,0
1720309,2,,,São Sebastião do Tocantins,0.02389014,0.83973119,0,0,0,0,18,0,9,0,0,6,0,18,21,0,8,0,0,0,0,8,0,0,0,0,0
1712157,3,,,Lavandeira,0.03896077,2.42961894,0,0,0,0,11,0,1,0,0,2,0,11,5,0,8,0,0,0,0,5,0,0,0,0,0
1702703,0,,,Aurora do Tocantins,0.05792851,2.34812282,0,0,0,0,17,0,1,0,0,3,0,17,12,0,11,0,0,0,0,4,0,0,0,0,0
1717800,3,,,Ponte Alta do Bom Jesus,0.14270328,3.80572305,0,0,0,0,17,0,16,0,0,2,0,30,24,0,21,0,0,0,0,4,0,0,0,0,0
1715259,0,,,Novo Jardim,0.10068307,3.57160081,0,0,0,0,11,0,7,0,0,1,0,11,16,0,10,0,0,0,0,4,0,0,0,0,0
1707009,1,,,Dianópolis,0.27511889,4.87377208,25,0,0,6,86,17,46,19,0,9,6,98,73,15,59,31,0,0,0,28,3,8,33,0,1
1718659,3,,,Rio da Conceição,0.07004661,1.59845971,0,0,0,0,11,0,5,0,0,4,0,11,9,0,11,0,0,0,0,4,0,0,0,0,0
1712702,0,,,Mateiros,0.79193478,6.2912366,7,0,0,0,11,0,9,0,0,0,0,15,15,0,11,0,0,0,0,5,0,0,0,0,0
1709302,1,,,Guaraí,0.17310763,2.92286983,20,0,0,0,124,0,44,24,2,17,6,86,58,43,59,0,0,12,3,29,8,20,0,0,19
