cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1712454,Luzinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,17,0,317,0,0,0,133,0,0,0,0,0,0,0,0,0,0,3,70,0,0
1721208,Tocantinópolis,0,259,0,24,76,0,0,0,0,132,0,0,0,229,0,0,0,0,780,2501,127,0,615,0,130,141,891,0,0,0,0,0,0,0,0,0,58,76,473,0,61
1703826,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,12,231,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,74,0,0
1701002,Ananás,0,0,0,0,0,0,0,0,0,41,0,0,0,82,0,0,0,0,110,849,120,0,711,0,0,55,511,0,0,0,0,0,0,0,0,0,175,39,254,0,0
1712801,Maurilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,147,53,0,492,0,0,0,177,0,0,0,0,0,0,0,0,0,0,8,45,0,0
1720101,São Bento do Tocantins,27,0,0,0,0,0,0,0,21,40,33,0,0,36,0,0,0,0,174,400,368,0,111,0,0,57,168,0,0,0,0,0,0,0,0,0,0,112,34,0,0
1710706,Itaguatins,0,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,156,281,0,718,0,0,0,249,0,0,0,0,0,0,0,0,0,0,51,128,0,0
1702901,Axixá do Tocantins,9,91,0,80,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,269,538,48,1607,0,0,0,747,0,0,0,0,0,0,0,0,0,0,100,214,0,76
1720804,Sítio Novo do Tocantins,114,144,0,0,0,0,0,0,0,0,105,0,0,31,0,0,0,0,231,506,455,0,596,0,0,95,322,0,0,0,0,0,0,0,0,0,0,105,160,0,0
1720200,São Miguel do Tocantins,0,68,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,379,340,832,42,399,0,0,157,274,0,0,0,0,0,0,0,0,0,0,237,100,0,0
1702554,Augustinópolis,0,0,0,27,0,0,0,0,72,0,0,0,51,0,0,0,0,0,138,1778,234,26,889,0,93,0,740,0,0,0,0,0,0,0,0,0,309,114,439,0,33
1718303,Praia Norte,57,80,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,364,602,0,765,0,0,0,396,0,0,0,0,0,0,0,0,0,0,78,169,0,0
1702208,Araguatins,3,179,0,42,0,0,42,0,28,95,22,0,63,146,0,0,0,0,396,2682,1408,145,1512,0,179,213,1087,0,0,0,650,0,0,77,0,0,71,238,413,0,159
1703800,Buriti do Tocantins,29,63,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,265,893,113,61,451,0,0,123,460,0,0,0,0,0,0,0,0,0,0,73,237,0,0
