cod_ibge,nome,sus_2006,priv_2006,sus_2007,priv_2007,sus_2008,priv_2008,sus_2009,priv_2009,sus_2010,priv_2010,sus_2011,priv_2011,sus_2012,priv_2012,sus_2013,priv_2013,sus_2014,priv_2014,sus_2015,priv_2015,sus_2016,priv_2016,sus_2017,priv_2017,sus_2018,priv_2018,sus_2019,priv_2019
1721208,Tocantinópolis,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0
1703826,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701002,Ananás,24,0,24,0,24,0,24,0,10,0,13,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0
1712801,Maurilândia do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720101,São Bento do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710706,Itaguatins,21,0,21,0,15,0,15,0,15,0,15,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
1702901,Axixá do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720804,Sítio Novo do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720200,São Miguel do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702554,Augustinópolis,110,0,96,0,96,0,87,0,87,0,87,0,93,0,93,0,93,0,93,0,93,0,93,0,93,0,93,0
1718303,Praia Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702208,Araguatins,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
1703800,Buriti do Tocantins,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703891,Carrasco Bonito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718808,Sampaio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707405,Esperantina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720309,São Sebastião do Tocantins,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712157,Lavandeira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702703,Aurora do Tocantins,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707009,Dianópolis,47,0,47,0,47,0,47,0,47,0,47,0,47,0,39,0,39,0,39,0,39,0,39,0,39,0,0,0
1718659,Rio da Conceição,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712702,Mateiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709302,Guaraí,58,35,56,35,56,35,56,0,56,0,63,0,54,0,54,0,54,0,57,0,57,0,57,0,57,0,57,0
